Agent Index,Group Index,Cities Visited,Chance meetings with group
997,97,8,4
998,98,12,1
999,99,9,0
1000,0,8,3
1001,1,7,0
1002,2,10,3
1003,3,12,3
1004,4,13,0
1005,5,10,3
1006,6,11,4
1007,7,11,2
1008,8,11,0
1009,9,12,1
1010,10,14,3
1011,11,13,0
1012,12,10,1
1013,13,12,3
1014,14,9,4
1015,15,13,1
1016,16,10,3
1017,17,9,1
1018,18,11,4
1019,19,10,2
1020,20,12,3
1021,21,9,0
1022,22,9,3
1023,23,8,2
1024,24,9,1
1025,25,10,1
1026,26,11,1
1027,27,13,0
1028,28,14,3
1029,29,10,2
1030,30,10,3
1031,31,11,3
1032,32,14,0
1033,33,10,3
1034,34,8,1
1035,35,12,2
1036,36,11,2
1037,37,8,2
1038,38,11,2
1039,39,13,1
1040,40,10,0
1041,41,9,3
1042,42,11,1
1043,43,8,1
1044,44,9,0
1045,45,10,2
1046,46,11,1
1047,47,12,3
1048,48,10,0
1049,49,8,2
1050,50,14,1
1051,51,9,1
1052,52,11,1
1053,53,14,2
1054,54,9,2
1055,55,17,4
1056,56,13,1
1057,57,12,1
1058,58,13,4
1059,59,10,2
1060,60,15,2
1061,61,11,4
1062,62,13,1
1063,63,12,4
1064,64,12,1
1065,65,10,1
1066,66,9,2
1067,67,13,2
1068,68,8,5
1069,69,11,1
1070,70,13,5
1071,71,7,2
1072,72,11,2
1073,73,9,0
1074,74,11,0
1075,75,15,4
1076,76,11,1
1077,77,10,1
1078,78,12,0
1079,79,12,2
1080,80,13,3
1081,81,12,7
1082,82,12,3
1083,83,8,3
1084,84,11,3
1085,85,10,2
1086,86,10,4
1087,87,13,1
1088,88,11,1
1089,89,12,2
1090,90,9,0
1091,91,9,4
1092,92,12,2
1093,93,9,2
1094,94,13,3
1095,95,13,1
1096,96,9,2
1097,97,13,3
1098,98,8,0
1099,99,14,1
1100,0,10,2
1101,1,13,3
1102,2,13,1
1103,3,13,6
1104,4,10,1
1105,5,9,3
1106,6,8,3
1107,7,11,4
1108,8,13,2
1109,9,9,3
1110,10,9,0
1111,11,12,1
1112,12,10,1
1113,13,10,1
1114,14,8,3
1115,15,11,4
1116,16,12,1
1117,17,9,3
1118,18,12,3
1119,19,10,2
1120,20,8,0
1121,21,11,0
1122,22,12,1
1123,23,11,2
1124,24,8,2
1125,25,12,4
1126,26,10,9
1127,27,13,5
1128,28,12,1
1129,29,11,2
1130,30,10,1
1131,31,10,2
1132,32,11,3
1133,33,10,1
1134,34,13,0
1135,35,10,2
1136,36,13,6
1137,37,14,0
1138,38,13,2
1139,39,10,1
1140,40,7,0
1141,41,13,4
1142,42,11,4
1143,43,9,5
1144,44,9,5
1145,45,9,0
1146,46,11,1
1147,47,11,2
1148,48,13,1
1149,49,14,1
1150,50,9,2
1151,51,11,3
1152,52,9,0
1153,53,13,3
1154,54,11,2
1155,55,10,1
1156,56,8,0
1157,57,9,3
1158,58,12,1
1159,59,11,2
1160,60,9,2
1161,61,11,2
1162,62,11,2
1163,63,9,1
1164,64,8,0
1165,65,11,0
1166,66,9,3
1167,67,11,3
1168,68,13,3
1169,69,7,1
1170,70,11,3
1171,71,13,1
1172,72,17,3
1173,73,9,4
1174,74,14,1
1175,75,13,3
1176,76,12,2
1177,77,10,0
1178,78,12,2
1179,79,9,2
1180,80,14,0
1181,81,11,4
1182,82,10,1
1183,83,12,3
1184,84,11,0
1185,85,11,1
1186,86,10,2
1187,87,11,0
1188,88,12,3
1189,89,7,3
1190,90,11,2
1191,91,9,0
1192,92,8,3
1193,93,16,1
1194,94,10,3
1195,95,13,5
1196,96,9,1
1197,97,11,4
1198,98,12,1
1199,99,12,3
1200,0,9,0
1201,1,12,0
1202,2,10,1
1203,3,11,1
1204,4,9,3
1205,5,18,1
1206,6,10,0
1207,7,14,0
1208,8,15,3
1209,9,13,2
1210,10,10,3
1211,11,13,2
1212,12,8,2
1213,13,11,3
1214,14,10,3
1215,15,11,3
1216,16,10,6
1217,17,12,1
1218,18,9,2
1219,19,9,2
1220,20,12,3
1221,21,9,0
1222,22,9,2
1223,23,10,1
1224,24,12,4
1225,25,9,3
1226,26,9,3
1227,27,10,5
1228,28,12,0
1229,29,7,1
1230,30,10,0
1231,31,9,2
1232,32,12,1
1233,33,13,2
1234,34,9,2
1235,35,14,2
1236,36,10,3
1237,37,12,4
1238,38,12,0
1239,39,9,1
1240,40,15,1
1241,41,11,3
1242,42,12,2
1243,43,9,1
1244,44,9,1
1245,45,11,2
1246,46,11,0
1247,47,8,0
1248,48,10,3
1249,49,12,4
1250,50,12,3
1251,51,9,1
1252,52,11,4
1253,53,13,1
1254,54,10,3
1255,55,11,4
1256,56,11,1
1257,57,10,1
1258,58,11,2
1259,59,11,1
1260,60,13,2
1261,61,12,2
1262,62,8,2
1263,63,9,1
1264,64,13,3
1265,65,11,2
1266,66,10,1
1267,67,12,1
1268,68,10,1
1269,69,12,4
1270,70,11,1
1271,71,11,6
1272,72,10,1
1273,73,9,4
1274,74,8,4
1275,75,10,1
1276,76,11,4
1277,77,11,1
1278,78,10,0
1279,79,10,1
1280,80,11,0
1281,81,13,4
1282,82,10,0
1283,83,8,1
1284,84,8,2
1285,85,13,2
1286,86,12,3
1287,87,11,1
1288,88,9,2
1289,89,9,0
1290,90,9,3
1291,91,10,1
1292,92,9,1
1293,93,12,1
1294,94,12,1
1295,95,8,0
1296,96,10,0
1297,97,12,1
1298,98,10,1
1299,99,10,2
1300,0,14,2
1301,1,9,2
1302,2,11,0
1303,3,9,1
1304,4,12,0
1305,5,12,1
1306,6,12,4
1307,7,8,1
1308,8,12,3
1309,9,11,0
1310,10,8,1
1311,11,8,2
1312,12,12,2
1313,13,10,0
1314,14,13,1
1315,15,8,3
1316,16,12,3
1317,17,11,3
1318,18,13,2
1319,19,12,1
1320,20,11,2
1321,21,9,0
1322,22,11,1
1323,23,9,3
1324,24,8,2
1325,25,12,3
1326,26,10,1
1327,27,10,2
1328,28,11,2
1329,29,10,1
1330,30,11,0
1331,31,12,2
1332,32,11,3
1333,33,10,2
1334,34,12,2
1335,35,9,3
1336,36,10,3
1337,37,9,0
1338,38,8,0
1339,39,13,6
1340,40,13,3
1341,41,11,1
1342,42,10,0
1343,43,8,1
1344,44,10,1
1345,45,13,1
1346,46,12,2
1347,47,11,3
1348,48,7,1
1349,49,14,7
1350,50,11,1
1351,51,10,2
1352,52,12,1
1353,53,11,2
1354,54,11,1
1355,55,9,2
1356,56,11,0
1357,57,12,2
1358,58,12,1
1359,59,9,5
1360,60,11,1
1361,61,8,1
1362,62,8,3
1363,63,11,1
1364,64,12,2
1365,65,10,1
1366,66,13,5
1367,67,8,0
1368,68,11,2
1369,69,13,3
1370,70,10,2
1371,71,10,1
1372,72,11,0
1373,73,11,0
1374,74,12,0
1375,75,8,0
1376,76,15,2
1377,77,8,0
1378,78,8,0
1379,79,15,1
